,id,station_name
3194839,177.0,MacArthur Blvd at Telegraph Ave
3197851,178.0,Broadway at 30th St
3208586,179.0,Telegraph Ave at 27th St
3217170,180.0,Telegraph Ave at 23rd St
3225161,181.0,Grand Ave at Webster St
3241873,182.0,19th Street BART Station
3274366,183.0,Telegraph Ave at 19th St
3287652,186.0,Lakeside Dr at 14th St
3295401,187.0,Jack London Square
3301026,188.0,Dover St at 57th St
3305055,189.0,Genoa St at 55th St
3312964,190.0,West St at 40th St
3317583,191.0,Market St at 40th St
3319437,192.0,37th St at West St
3322686,193.0,Grand Ave at Santa Clara Ave
3333175,194.0,Lakeshore Ave at Trestle Glen Rd
3341131,195.0,Bay Pl at Vernon St
3356681,196.0,Grand Ave at Perkins St
3375546,197.0,El Embarcadero at Grand Ave
3395278,198.0,Snow Park
3401990,200.0,2nd Ave at E 18th St
3419942,201.0,10th St at Fallon St
3427726,202.0,Washington St at 8th St
3433083,203.0,Webster St at 2nd St
3442909,204.0,55th St at Telegraph Ave
3446409,205.0,Miles Ave at Cavour St
3450359,206.0,College Ave at Bryant Ave
3452377,207.0,Broadway at Coronado Ave
3456119,208.0,4th St at San Carlos St
3458408,209.0,45th St at MLK Jr Way
3460109,210.0,45th St at Manila
3466019,211.0,Broadway at 40th St
3476184,212.0,Mosswood Park
3483279,213.0,32nd St at Adeline St
3488515,214.0,Market St at Brockhurst St
3491858,215.0,34th St at Telegraph Ave
3496107,216.0,San Pablo Ave at 27th St
3498126,217.0,27th St at MLK Jr Way
3499386,218.0,DeFremery Park
3503556,219.0,Marston Campbell Park
3507126,220.0,San Pablo Ave at MLK Jr Way
3510390,221.0,6th Ave at E 12th St (Temporary Location)
3512979,222.0,10th Ave at E 15th St
3514707,223.0,16th St Mission BART Station 2
3542542,224.0,21st Ave at International Blvd
3542776,225.0,23rd Ave at Foothill Blvd
3543631,226.0,26th Ave at International Blvd
3544517,227.0,Foothill Blvd at Fruitvale Ave
3545594,228.0,Foothill Blvd at Harrington Ave
3546080,229.0,Foothill Blvd at 42nd Ave
3546715,230.0,14th St at Mandela Pkwy
3554634,231.0,14th St at Filbert St
3557434,232.0,MLK Jr Way at 14th St
3561774,233.0,4th Ave at E 12th St (Temporary Location)
3566247,234.0,Farnam St at Fruitvale Ave
3566248,234.0,Fruitvale Ave at International Blvd
3566586,235.0,Union St at 10th St
3570676,236.0,Market St at 8th St
3572665,237.0,Fruitvale BART Station
3575493,238.0,MLK Jr Way at University Ave
3590956,239.0,Bancroft Way at Telegraph Ave
3622637,240.0,Haste St at Telegraph Ave
3636750,241.0,Ashby BART Station
3657224,242.0,Milvia St at Derby St
3664660,243.0,Bancroft Way at College Ave
3690111,244.0,Shattuck Ave at Hearst Ave
3700110,245.0,Downtown Berkeley BART
3731831,246.0,Berkeley Civic Center
3746799,247.0,Fulton St at Bancroft Way
3759392,248.0,Telegraph Ave at Ashby Ave
3768547,249.0,Russell St at College Ave
3777568,250.0,North Berkeley BART Station
3788529,251.0,California St at University Ave
3795123,252.0,Channing Way at Shattuck Ave
3807296,253.0,Haste St at College Ave
3819368,254.0,Vine St at Shattuck Ave
3829052,255.0,Virginia St at Shattuck Ave
3835472,256.0,Hearst Ave at Euclid Ave
3853500,257.0,Fifth St at Delaware St
3859130,258.0,University Ave at Oxford St
3871605,259.0,Addison St at Fourth St
3881917,262.0,West St at University Ave
3887601,263.0,Channing Way at San Pablo Ave
3893705,265.0,Ninth St at Parker St
3899925,266.0,Parker St at Fulton St
3916589,267.0,Derby St at College Ave
3926870,268.0,Ellsworth St at Russell St
3931986,269.0,Telegraph Ave at Carleton St
3941814,270.0,Ninth St at Heinz Ave
3950558,271.0,San Pablo Park
3955522,272.0,Woolsey St at Sacramento St1
3955537,273.0,Fulton St at Ashby Ave
3959634,274.0,Oregon St at Adeline St
3970556,275.0,Julian St at 6th St
3973130,276.0,Julian St at The Alameda
3981327,277.0,W Julian St at N Morrison St
3981328,277.0,Morrison Ave at Julian St
3987812,278.0,The Alameda at Bush St
3995580,279.0,Santa Clara St at 7th St
4001219,280.0,San Fernando St at 7th St
4015807,281.0,9th St at San Fernando St
4019137,282.0,Market St at Park St
4021714,283.0,Delmas Ave and San Fernando St
4023271,284.0,Yerba Buena Center for the Arts (Howard St at 3rd St)
4046905,285.0,Webster St at O'Farrell St
4063527,286.0,San Carlos St at 11th St
4065854,287.0,Almaden Blvd at Balbach St
4066987,288.0,Mission St at 1st St
4068279,289.0,5th St at Taylor St
4068286,289.0,N 3rd St at E Taylor St
4070587,290.0,George St at 1st St
4070588,290.0,Jackson St at N 1st St
4071505,291.0,Autumn Parkway at Coleman Ave
4074448,292.0,Empire St at 1st St
4076616,294.0,Pierce Ave at Market St
4079536,295.0,William St at 10th St
4081416,296.0,5th St at Virginia St
4103368,297.0,Locust St at Grant St
4104494,298.0,Oak St at 1st St
4104983,299.0,Bestor Art Park
4106761,300.0,Palm St at Willow St
4107187,301.0,Willow St at Vine St
